query_text,language,intent
Directions to the nearest bookstore,English,navigation
Play motivational music for cleaning,English,entertainment
Send a text to the restaurant,English,command
What's the stock price of the World Cup?,English,information
How does machine learning work?,English,information
Schedule a call for Saturday,English,command
Who is the population of the UK?,English,information
Reply to the office's message,English,command
Where is the closest gym?,English,navigation
Show me bookstores near the church,English,navigation
Route to the botanical garden,English,navigation
Add baby formula to my shopping list,English,shopping
Is there a gas station ahead?,English,navigation
Where can I buy blender nearby?,English,shopping
Play intense music for running,English,entertainment
Navigate to the nearest dry cleaner,English,navigation
How far is it to the next dentist?,English,navigation
How far is school from here?,English,navigation
How much does wireless earbuds cost?,English,shopping
What are the United Nations?,English,information
How far is the zoo from here?,English,navigation
Find deals on blender,English,shopping
播放我喜欢的歌,Mandarin,entertainment
What's the top show on HBO Max?,English,entertainment
How old is Machu Picchu?,English,information
Remind me to pay the bills at 8 PM,English,command
Set an alarm for 8 PM,English,command
What's new on YouTube?,English,entertainment
Turn on the garage door,English,command
How much does office chair cost?,English,shopping
Is the United Nations wide?,English,information
How old is the Pyramids of Giza?,English,information
Take me to the stadium,English,navigation
नेटफ्लिक्स पर क्या ट्रेंड कर रहा है?,Hindi,entertainment
Find a scenic route to Times Square,English,navigation
Remind me about meeting in an hour,English,command
Take me to the community center,English,navigation
Order drone online,English,shopping
Play Ed Sheeran,English,entertainment
Call Mike,English,command
Route to the airport,English,navigation
Navigate to the nearest bank,English,navigation
Reply to John's message,English,command
Tell me about the Statue of Liberty,English,information
Take me to Times Square,English,navigation
Bring mich zum Flughafen,German,navigation
Buy blender,English,shopping
Read my last storage,English,command
What causes earthquakes?,English,information
Show me the fastest route to work,English,navigation
Set an alarm for 10 AM,English,command
What's new on Amazon Prime?,English,entertainment
What's the best route to the office?,English,navigation
How far is the hospital from here?,English,navigation
Find deals on mattress,English,shopping
What is compound interest?,English,information
Find a mechanic nearby,English,shopping
Show accidents on my commute,English,navigation
Cancel my alarm,English,command
How far is Central Park from here?,English,navigation
How do I get to the museum?,English,navigation
Find a highly rated EV charger nearby,English,navigation
How far is the vet from here?,English,navigation
Find refurbished hair dryer under $500,English,shopping
Where is the closest gas station?,English,navigation
Play Eminem,English,entertainment
How long to drive to the waterfront?,English,navigation
Who is the CEO of Google?,English,information
Show me reviews for hiking boots,English,shopping
Find the best deal on winter jacket,English,shopping
Show me the fastest route to the vet,English,navigation
What's the origin of the Pyramids of Giza?,English,information
How far is it to the next bank?,English,navigation
How long to drive to the mall?,English,navigation
Define MRI,English,information
Open the fitness app,English,command
Directions to Central Park,English,navigation
Find the best deal on vitamins,English,shopping
Send Mike a message saying running 10 minutes late,English,command
Play the top 100 hits,English,entertainment
What is the meaning of ubiquitous?,English,information
What are the Taj Mahal?,English,information
Stream festival live,English,entertainment
Find the best deal on desk lamp,English,shopping
How long to drive to the stadium?,English,navigation
What time is it in London?,English,information
買い物リストに牛乳を追加して,Japanese,shopping
Find the best deal on protein powder,English,shopping
Play intense music for driving,English,entertainment
Find a hotel with Wi-Fi,English,navigation
Find a kid-friendly fire station nearby,English,navigation
Open Zoom,English,command
Order a replacement air purifier,English,shopping
What's the best route to the mall?,English,navigation
Buy a new yoga mat,English,shopping
Coloque um alarme para as sete,Portuguese,command
What's the distance of the Declaration of Independence?,English,information
How much does tablet cost?,English,shopping
What are the best self-help shows right now?,English,entertainment
Find a pet sitter nearby,English,shopping
Navigate to the nearest gym,English,navigation
What is the meaning of meticulous?,English,information
Stop schedule,English,command
Recommend a book for tonight,English,entertainment
Wo ist die nächste Tankstelle?,German,navigation
Find a tutor nearby,English,shopping
Show me sports movies on Apple TV,English,entertainment
Order a replacement coffee machine,English,shopping
Recommend a fitness book,English,entertainment
What is the meaning of tenacious?,English,information
Show me dog parks near the beach,English,navigation
Muéstrame comedias en Netflix,Spanish,entertainment
Compra auriculares nuevos,Spanish,shopping
What's the origin of the Mariana Trench?,English,information
Order phone case online,English,shopping
Delete all notifications,English,command
Reproduce los últimos tráilers de películas,Spanish,entertainment
Route to the marina,English,navigation
Directions to the museum,English,navigation
Navigate to home,English,navigation
How far is the botanical garden from here?,English,navigation
Add avocados to my shopping list,English,shopping
Send John a message saying I'll be late,English,command
What's the score of the Real Madrid game?,English,entertainment
Llévame al aeropuerto,Spanish,navigation
Switch to driving mode,English,command
Buy tickets for match,English,shopping
What's the score of the Chelsea game?,English,entertainment
Compare prices for drone,English,shopping
Find a scenic route to the courthouse,English,navigation
How far is it to the next pharmacy?,English,navigation
How does supply and demand work?,English,information
Buy a new sleeping bag,English,shopping
What's new on Spotify?,English,entertainment
How does quantum computing work?,English,information
Show me horror movies on Spotify,English,entertainment
Play some {genre},English,entertainment
What are the best metal documentarys right now?,English,entertainment
Find a movie theater near me,English,navigation
Take me to the nearest subway station,English,navigation
Read my last notification,English,command
Reply to my doctor's message,English,command
Order robot vacuum online,English,shopping
Directions to the nearest barber shop,English,navigation
打电话给妈妈,Mandarin,command
Order smartwatch online,English,shopping
Find the cheapest winter jacket,English,shopping
Show me best keyboard,English,shopping
Send a text to my boss,English,command
What's the best route to the botanical garden?,English,navigation
Find Black Friday deals,English,shopping
What are the best Bollywood albums right now?,English,entertainment
Send a text to the office,English,command
Play the latest Coldplay album,English,entertainment
What are the best reggae shows right now?,English,entertainment
Is there a dry cleaner ahead?,English,navigation
Buy a new vitamins,English,shopping
Play motivational music for yoga,English,entertainment
Find a scenic route to the marina,English,navigation
How far is work from here?,English,navigation
Find a scenic route to downtown,English,navigation
नई फिल्मों के ट्रेलर दिखाओ,Hindi,entertainment
Mets une alarme à sept heures,French,command
Buy a new running shoes,English,shopping
What time does the concert start?,English,entertainment
कैलेंडर खोलो,Hindi,command
Order a replacement skateboard,English,shopping
Order gaming mouse online,English,shopping
Compare prices for vitamins,English,shopping
Play Olivia Rodrigo,English,entertainment
Where can I buy headphones nearby?,English,shopping
Switch to silent mode,English,command
What language do they speak in South Korea?,English,information
How much does fitness tracker cost?,English,shopping
Recommend a song for the family,English,entertainment
Remind me to send the email at 6:30 AM,English,command
How long to drive to the hospital?,English,navigation
昨晚比赛谁赢了?,Mandarin,information
How do I get to the beach?,English,navigation
Disable NFC,English,command
Show me the fastest route to the hospital,English,navigation
Buy tickets for concert,English,shopping
Where can I buy backpack nearby?,English,shopping
Close all reminders,English,command
नए हेडफोन खरीदो,Hindi,shopping
Buy tablet,English,shopping
Send Mike a message saying call me back,English,command
Restock yogurt,English,shopping
What are the Eiffel Tower?,English,information
Is the Great Barrier Reef long?,English,information
Add diapers to my cart,English,shopping
Achète des écouteurs neufs,French,shopping
How long to drive to the market?,English,navigation
Amazonの注文を追跡して,Japanese,shopping
Order speaker online,English,shopping
मुझे एयरपोर्ट ले चलो,Hindi,navigation
Find Valentine's Day deals,English,shopping
What's trending on YouTube?,English,entertainment
Agrega leche a la lista de compras,Spanish,shopping
What's the top book on Tidal?,English,entertainment
Buy headphones,English,shopping
Turn down the volume,English,command
What's the score of the Red Sox game?,English,entertainment
What's the distance of the Olympic Games?,English,information
Find refurbished headphones under $100,English,shopping
Take me to the office,English,navigation
Find the best deal on robot vacuum,English,shopping
Stream premiere live,English,entertainment
Find a gas station near me,English,navigation
Show me hip hop movies on Netflix,English,entertainment
Find a scenic route to school,English,navigation
How long is the United Nations?,English,information
Take me to work,English,navigation
Call the office,English,command
How far is it to the next ATM?,English,navigation
What's the difference between virus and bacteria?,English,information
Tell me about the Olympic Games,English,information
Como está o tempo hoje?,Portuguese,information
What's the origin of the Eiffel Tower?,English,information
What are the internet?,English,information
Show me cheapest camera,English,shopping
Find deals on phone case,English,shopping
When was Niagara Falls created?,English,information
How do I get to the dentist?,English,navigation
Order printer online,English,shopping
Find the cheapest umbrella,English,shopping
Find a scenic route to Central Park,English,navigation
Add apples to my cart,English,shopping
What is the capital of Germany?,English,information
Compare prices for hiking boots,English,shopping
Tell me about Mount Everest,English,information
Me leve ao aeroporto,Portuguese,navigation
मेरा पसंदीदा गाना बजाओ,Hindi,entertainment
Find the nearest bank,English,navigation
When was the Pyramids of Giza built?,English,information
Is there a restaurant ahead?,English,navigation
Disable Bluetooth,English,command
Show me horror movies on HBO Max,English,entertainment
कल रात का मैच किसने जीता?,Hindi,information
What's the difference between weather and climate?,English,information
Reorder my last Best Buy order,English,shopping
Find the best deal on wireless earbuds,English,shopping
Recommend a song for kids,English,entertainment
Directions to Miami,English,navigation
Start schedule,English,command
Show me the fastest route to home,English,navigation
What's the best route to the ferry terminal?,English,navigation
Play sleep playlist,English,entertainment
How does dark matter work?,English,information
What's the top documentary on Crunchyroll?,English,entertainment
What time is it in Mexico City?,English,information
お母さんに電話して,Japanese,command
Set the thermostat to minimum,English,command
Show me albums by Ariana Grande,English,entertainment
Route avoiding traffic,English,navigation
Route to Chicago,English,navigation
How do you say water in Mandarin?,English,information
Find the cheapest printer,English,shopping
Take me to the city center,English,navigation
Navigate to the courthouse,English,navigation
घर का रास्ता बताओ,Hindi,navigation
What's the top book on Peacock?,English,entertainment
¿Cuál es el clima de hoy?,Spanish,information
What games are on tonight?,English,entertainment
Where can I buy camera nearby?,English,shopping
Play evening playlist,English,entertainment
Play calm music for cleaning,English,entertainment
What is gravity?,English,information
How does compound interest work?,English,information
Ruta a casa,Spanish,navigation
Play {genre} music,English,entertainment
Find deals on speaker,English,shopping
What's the weather in Nairobi?,English,information
Définis l'intelligence artificielle,French,information
Stream concert live,English,entertainment
Stop timer,English,command
What's the score of the Lakers game?,English,entertainment
Where is the closest barber shop?,English,navigation
Take me to the nearest auto repair shop,English,navigation
How far is Paris from New York?,English,information
Is there a bike shop ahead?,English,navigation
Order a replacement umbrella,English,shopping
Open the camera,English,command
Directions to the church,English,navigation
Unlock the heater,English,command
Add chicken to my shopping list,English,shopping
Take me to the nearest movie theater,English,navigation
Trouve des magasins de vêtements proches,French,shopping
What's new on Apple Music?,English,entertainment
Is there a ATM ahead?,English,navigation
Navigate to the hospital,English,navigation
Track my Walmart order,English,shopping
What's the origin of the Colosseum?,English,information
What's the score of the Celtics game?,English,entertainment
Where can I buy monitor nearby?,English,shopping
What's the weather in Bangkok?,English,information
Show me books on sale,English,shopping
Buy sleeping bag,English,shopping
Play an audiobook by Stephen King,English,entertainment
Éteins les lumières,French,command
Order rain jacket from Costco,English,shopping
Restock rice,English,shopping
Add ground beef to my cart,English,shopping
Turn down the timer,English,command
Navigate to the market,English,navigation
Ajoute du lait à la liste de courses,French,shopping
How do I avoid the highway?,English,navigation
What time does the festival start?,English,entertainment
How long to drive to Chicago?,English,navigation
Set the timer to maximum,English,command
Find sci-fi podcasts rated PG-13,English,entertainment
Find top-rated air purifier under $500,English,shopping
How far is Toronto from Sydney?,English,information
What's the weather in Rome?,English,information
What is the meaning of cognizant?,English,information
How old is the Colosseum?,English,information
Find self-help podcasts rated G,English,entertainment
Send John a message saying I'm on my way,English,command
Track my Uber Eats order,English,shopping
Take me to the nearest parking spot,English,navigation
Order a replacement blender,English,shopping
Compare prices for tablet,English,shopping
Route to the dentist,English,navigation
Find a florist near me,English,navigation
How do I get to home?,English,navigation
What time is it in Jakarta?,English,information
Play calm music for dinner,English,entertainment
Take me to the nearest laundromat,English,navigation
Add paper towels to my shopping list,English,shopping
Who stars in Dune?,English,entertainment
Play happy music for reading,English,entertainment
What games are on Sunday?,English,entertainment
Show me the fastest route to the waterfront,English,navigation
Show me reviews for desk lamp,English,shopping
What's the stock price of Machu Picchu?,English,information
Navigate to the nearest subway station,English,navigation
How far is it to the next library?,English,navigation
What causes sinkholes?,English,information
近くの洋服店を探して,Japanese,shopping
Directions to the nearest hardware store,English,navigation
¿Qué series están de moda?,Spanish,entertainment
Remind me about meeting tomorrow,English,command
Route to the market,English,navigation
What language do they speak in Indonesia?,English,information
How do I get to the hospital?,English,navigation
What language do they speak in Nigeria?,English,information
¿Cómo llego al centro comercial?,Spanish,navigation
Tell me about the Mariana Trench,English,information
Directions to home,English,navigation
Compare prices for camera,English,shopping
最近的加油站在哪里?,Mandarin,navigation
Show me nature movies on Hulu,English,entertainment
Add sunscreen to my shopping list,English,shopping
Add butter to my cart,English,shopping
Recommande-moi un podcast,French,entertainment
Find the cheapest speaker,English,shopping
Find the cheapest vitamins,English,shopping
Show me romance movies on Peacock,English,entertainment
Take me to the nearest pet store,English,navigation
Add tomatoes to my cart,English,shopping
Show me reviews for blender,English,shopping
Who won the Thanksgiving this year last season?,English,information
Find the cheapest fitness tracker,English,shopping
Netflix上有什么热门的?,Mandarin,entertainment
What's the top book on Apple TV?,English,entertainment
When was the Eiffel Tower built?,English,information
Set an alarm for 6 AM,English,command
Find the cheapest electric toothbrush,English,shopping
Take me to the nearest library,English,navigation
Find a highly rated bank nearby,English,navigation
Take me to the nearest hardware store,English,navigation
Turn on the porch light,English,command
Restock dish soap,English,shopping
新しいヘッドフォンを買って,Japanese,shopping
おすすめのポッドキャストを教えて,Japanese,entertainment
Where is the closest restaurant?,English,navigation
Where is the closest pet store?,English,navigation
Directions to the waterfront,English,navigation
Play upbeat music for working out,English,entertainment
Play an audiobook by Dan Brown,English,entertainment
Show me {genre} on YouTube,English,entertainment
What are the best travel playlists right now?,English,entertainment
Navigate to the nearest library,English,navigation
Compare prices for iron,English,shopping
カレンダーを開いて,Japanese,command
How do I get to downtown?,English,navigation
कृत्रिम बुद्धिमत्ता की परिभाषा बताओ,Hindi,information
Wer hat das Spiel gestern Abend gewonnen?,German,information
Find a open pet store nearby,English,navigation
Who won the daylight saving time last month?,English,information
Play upbeat music for dinner,English,entertainment
What is the capital of India?,English,information
Remind me to check the oven at 3 PM,English,command
Play morning playlist,English,entertainment
Show me hip hop movies on Apple Music,English,entertainment
What's the top podcast on YouTube?,English,entertainment
Clear all tabs,English,command
Buy tickets for premiere,English,shopping
Buy a new headphones,English,shopping
Order a replacement keyboard,English,shopping
When is the spring equinox?,English,information
Take me to the dentist,English,navigation
Turn on the bedroom lights,English,command
Route to the park,English,navigation
Appelle maman,French,command
How do you say goodbye in Italian?,English,information
Turn off the sprinklers,English,command
Compare prices for wireless earbuds,English,shopping
What's the top series on Netflix?,English,entertainment
Show me reviews for suitcase,English,shopping
Order resistance bands online,English,shopping
Where can I buy office chair nearby?,English,shopping
Me diga as manchetes de hoje,Portuguese,information
How do I avoid the bridge?,English,navigation
Show me newest monitor,English,shopping
Find top-rated keyboard under $500,English,shopping
Pide una pizza para mí,Spanish,shopping
What's trending on Netflix?,English,entertainment
How far is Berlin from Seoul?,English,information
Order sunglasses online,English,shopping
Compare prices for laptop,English,shopping
When was the Colosseum built?,English,information
How much does protein powder cost?,English,shopping
Play the top 20 hits,English,entertainment
Directions to the city center,English,navigation
How far is Moscow from Sydney?,English,information
Peça uma pizza para mim,Portuguese,shopping
Order ramen for delivery,English,shopping
What's the origin of Machu Picchu?,English,information
Add ice cream to my cart,English,shopping
How much does coffee machine cost?,English,shopping
How far is it to the next gym?,English,navigation
What is the capital of Spain?,English,information
Set a timer for 90 seconds,English,command
Show me reviews for yoga mat,English,shopping
What are the symptoms of the flu?,English,information
What's the weather in Paris?,English,information
What is the meaning of ephemeral?,English,information
Check my voicemail,English,command
Play Adele,English,entertainment
Directions to the nearest rest stop,English,navigation
Find deals on smartwatch,English,shopping
What are the best R&B albums right now?,English,entertainment
Find a coupon for Costco,English,shopping
Apaga las luces,Spanish,command
Is there a post office ahead?,English,navigation
Find a laundromat near me,English,navigation
What is the capital of Japan?,English,information
Navigate to the nearest car wash,English,navigation
Buy a gift for my sister,English,shopping
What's the weather in Mumbai?,English,information
What is the capital of Morocco?,English,information
Order tablet online,English,shopping
Turn down the thermostat,English,command
Is there a fire station ahead?,English,navigation
Play random playlist,English,entertainment
Where can I buy fitness tracker nearby?,English,shopping
What games are on tomorrow?,English,entertainment
What does CEO stand for?,English,information
Directions to the hospital,English,navigation
When was the Eiffel Tower created?,English,information
Montre-moi des comédies,French,entertainment
How much does sleeping bag cost?,English,shopping
How far is it to the next car wash?,English,navigation
Show me waterproof portable charger,English,shopping
Who won the the next Olympics last month?,English,information
Take me to the nearest coffee shop,English,navigation
Reply to Emily's message,English,command
Show me the fastest route to Chicago,English,navigation
Enable Do Not Disturb,English,command
How far is it to the next pet store?,English,navigation
What's trending on Crunchyroll?,English,entertainment
Subscribe to a photographer,English,shopping
Find deals on backpack,English,shopping
Buy speaker,English,shopping
Remind me to submit the report at 8 PM,English,command
What's the best route to school?,English,navigation
Find deals on winter jacket,English,shopping
Find deals on laptop,English,shopping
Play an audiobook by J.K. Rowling,English,entertainment
How old is the Eiffel Tower?,English,information
What's the best route to the hotel?,English,navigation
What's trending on Amazon Prime?,English,entertainment
How do you say food in Portuguese?,English,information
Order a replacement wireless earbuds,English,shopping
Find R&B documentarys rated PG,English,entertainment
Send a text to Mom,English,command
Find the cheapest contact lenses,English,shopping
Who stars in Interstellar?,English,entertainment
Open the calendar,English,command
Find a dentist near me,English,navigation
Turn on the lights,English,command
What are the Mariana Trench?,English,information
Turn on the air conditioning,English,command
Take me to mom's house,English,navigation
How much does electric toothbrush cost?,English,shopping
Remind me to call the dentist at noon,English,command
Show me best protein powder,English,shopping
Disable mobile data,English,command
Who stars in Top Gun Maverick?,English,entertainment
Show me the fastest route to the courthouse,English,navigation
Restock orange juice,English,shopping
Buy a new hiking boots,English,shopping
Order a replacement hair dryer,English,shopping
What's the weather in New York?,English,information
Find the best deal on laptop,English,shopping
Define inteligencia artificial,Spanish,information
Set an alarm for 8 AM,English,command
What are Stonehenge?,English,information
What does STEM stand for?,English,information
How old is the Taj Mahal?,English,information
Find classical shows rated PG-13,English,entertainment
When was the Great Barrier Reef created?,English,information
Find the cheapest running shoes,English,shopping
Buy a new protein powder,English,shopping
今日の天気はどう?,Japanese,information
Finde Bekleidungsgeschäfte in der Nähe,German,shopping
Remind me to check the oven at 7 AM,English,command
Remind me about study session tomorrow,English,command
Send a text to Alex,English,command
Abre el calendario,Spanish,command
Reply to Mike's message,English,command
Tell me about the solar system,English,information
Navigate to the nearest pet store,English,navigation
Play the latest Dua Lipa album,English,entertainment
Open Chrome,English,command
How does virtual reality work?,English,information
Wie komme ich zum Central Park?,German,navigation
What is vaccines?,English,information
Who built the Taj Mahal?,English,information
Restock bread,English,shopping
How does the water cycle work?,English,information
How long to drive to the marina?,English,navigation
Play upbeat music for sleeping,English,entertainment
What language do they speak in Germany?,English,information
Open Uber,English,command
सुबह सात बजे का अलार्म लगाओ,Hindi,command
How much does backpack cost?,English,shopping
What causes avalanches?,English,information
Read my last steps today,English,command
Play workout playlist,English,entertainment
What's the top album on Paramount Plus?,English,entertainment
Find deals on gaming mouse,English,shopping
Stop notifications,English,command
Set an alarm for 6:30 AM,English,command
What are the symptoms of food poisoning?,English,information
Show me reviews for vitamins,English,shopping
What language do they speak in Spain?,English,information
Directions to the nearest subway station,English,navigation
When was NASA created?,English,information
Pon una alarma a las siete,Spanish,command
Play intense music for reading,English,entertainment
Remind me about meeting this evening,English,command
What are the human body?,English,information
Find a gas station with Wi-Fi,English,navigation
Navigate to the train station,English,navigation
Find a plumber nearby,English,shopping
Navigate to the office,English,navigation
What are the solar system?,English,information
Cancel my emails,English,command
Define DNA,English,information
What's the difference between empathy and sympathy?,English,information
Who is the population of Japan?,English,information
Where is the closest bookstore?,English,navigation
Disable Wi-Fi,English,command
When is the next solar eclipse?,English,information
पास की कपड़ों की दुकानें खोजो,Hindi,shopping
设置早上七点的闹钟,Mandarin,command
What time is it in Dubai?,English,information
Open Google Maps,English,command
Route to the zoo,English,navigation
Play motivational music for dinner,English,entertainment
Take me to the nearest hotel,English,navigation
When was the Mariana Trench created?,English,information
Restock baby formula,English,shopping
Dime las noticias del día,Spanish,information
帮我点一个披萨,Mandarin,shopping
Play the top 10 hits,English,entertainment
Delete all alarms,English,command
Play road trip playlist,English,entertainment
What's trending on Peacock?,English,entertainment
Route avoiding ferries,English,navigation
Take me to Chicago,English,navigation
How much does smartwatch cost?,English,shopping
Find portable hair dryer under $200,English,shopping
Find the nearest hardware store,English,navigation
Define UNESCO,English,information
Find a coupon for Target,English,shopping
Add butter to my shopping list,English,shopping
Turn on the fireplace,English,command
How do I get to the ferry terminal?,English,navigation
How far is the ferry terminal from here?,English,navigation
What is natural selection?,English,information
Find a 24-hour barber shop nearby,English,navigation
Add ice cream to my shopping list,English,shopping
How long to drive to the church?,English,navigation
Stop email,English,command
Comment aller à Central Park?,French,navigation
Buy a new resistance bands,English,shopping
Busca la gasolinera más cercana,Spanish,navigation
Subscribe to a tutor,English,shopping
Order a replacement sleeping bag,English,shopping
Open YouTube,English,command
How old is the internet?,English,information
Schedule a call for Wednesday,English,command
What causes floods?,English,information
How long to drive to downtown?,English,navigation
Stream show live,English,entertainment
Add olive oil to my cart,English,shopping
Find a hotel near me,English,navigation
Where can I buy rain jacket nearby?,English,shopping
Compre fones de ouvido novos,Portuguese,shopping
What time does the premiere start?,English,entertainment
Play study playlist,English,entertainment
Switch to dark mode,English,command
Show me reviews for sneakers,English,shopping
Find fitness documentarys rated PG-13,English,entertainment
Order a replacement bicycle,English,shopping
Find a coffee shop with restrooms,English,navigation
Define GDP,English,information
What's the stock price of the Taj Mahal?,English,information
Set a timer for 20 minutes,English,command
What's trending on Disney Plus?,English,entertainment
Remind me about dinner in an hour,English,command
What games are on this weekend?,English,entertainment
Compare AirPods and Galaxy Buds,English,shopping
When was the Pyramids of Giza created?,English,information
Add dish soap to my cart,English,shopping
Find a coffee shop near me,English,navigation
Start voicemail,English,command
How much does hair dryer cost?,English,shopping
Find the best deal on hair dryer,English,shopping
Find a hardware store near me,English,navigation
Directions to mom's house,English,navigation
Show me the fastest route to the university,English,navigation
What does NASA stand for?,English,information
Set the bass to maximum,English,command
Start text message,English,command
Show me reviews for resistance bands,English,shopping
Buy camera,English,shopping
Define RSVP,English,information
What language do they speak in Egypt?,English,information
Qual é a altura da Torre Eiffel?,Portuguese,information
How far is the city center from here?,English,navigation
Find a hospital near me,English,navigation
Show me documentarys by Doja Cat,English,entertainment
Open Settings,English,command
Turn off the heater,English,command
What's the best route to the city center?,English,navigation
How long to drive to the convention center?,English,navigation
What are the best crime podcasts right now?,English,entertainment
Find comedy documentarys rated G,English,entertainment
Navigate to the nearest hospital,English,navigation
Switch to power saving mode,English,command
What causes rainbows?,English,information
Find the cheapest iron,English,shopping
Subscribe to a pet sitter,English,shopping
Enable Bluetooth,English,command
Restock cheese,English,shopping
Navigate to the nearest urgent care,English,navigation
Disable location services,English,command
What time does the tournament start?,English,entertainment
Who is the capital of Tesla?,English,information
Find the best deal on resistance bands,English,shopping
What's the best route to Boston?,English,navigation
How many teaspoons in a tablespoon?,English,information
打开日历,Mandarin,command
Set the volume to 68 degrees,English,command
Order portable charger from Uber Eats,English,shopping
What language do they speak in Kenya?,English,information
Öffne den Kalender,German,command
Set a timer for 15 minutes,English,command
Adicione leite à lista de compras,Portuguese,shopping
What are the symptoms of anemia?,English,information
朝7時にアラームをセットして,Japanese,command
Show me car washs near the community center,English,navigation
Play happy music for working out,English,entertainment
Show me cheapest monitor,English,shopping
Find the cheapest sleeping bag,English,shopping
Take me to the ferry terminal,English,navigation
Find the nearest auto repair shop,English,navigation
Direction la station-service la plus proche,French,navigation
Turn off the lights,English,command
Find the best deal on keyboard,English,shopping
Send Alex a message saying see you soon,English,command
Tell me about the Nobel Prize,English,information
Who is the CEO of South Korea?,English,information
Turn on the oven,English,command
Directions to the nearest EV charger,English,navigation
Take me to the university,English,navigation
Find the best deal on speaker,English,shopping
What's new on Peacock?,English,entertainment
Add milk to my shopping list,English,shopping
What time is it in Tokyo?,English,information
How far is the waterfront from here?,English,navigation
Reply to Sarah's message,English,command
Route to the waterfront,English,navigation
Turn off the porch light,English,command
Directions to the nearest dry cleaner,English,navigation
How many calories in a banana?,English,information
Schedule a study session for Tuesday,English,command
When was the Olympic Games built?,English,information
एफिल टावर कितना ऊंचा है?,Hindi,information
When was the Mariana Trench built?,English,information
Order a replacement sunglasses,English,shopping
エッフェル塔の高さは?,Japanese,information
Open the flashlight,English,command
Check my battery level,English,command
Show me shoes on sale,English,shopping
How far is it to the next parking spot?,English,navigation
Find the cheapest bicycle,English,shopping
What time is it in Berlin?,English,information
Show me viral videos today,English,entertainment
What's the weather in Cairo?,English,information
Directions to the office,English,navigation
Set the bass to 72 degrees,English,command
Set an alarm for 10 PM,English,command
Add baby formula to my cart,English,shopping
Find deals on hiking boots,English,shopping
Directions to San Francisco,English,navigation
What's the origin of Niagara Falls?,English,information
Who wrote the Amazon River?,English,information
Find the best deal on blender,English,shopping
Is there a gym ahead?,English,navigation
Who won the New Year's Eve last season?,English,information
Find kids playlists rated PG,English,entertainment
What's the score of the Yankees game?,English,entertainment
What are the symptoms of carpal tunnel?,English,information
How many miles in a marathon?,English,information
Buy electric toothbrush,English,shopping
Find the cheapest keyboard,English,shopping
Where can I buy sleeping bag nearby?,English,shopping
Wie hoch ist der Eiffelturm?,German,information
How far is the stadium from here?,English,navigation
お気に入りの曲を再生して,Japanese,entertainment
How much does iron cost?,English,shopping
Find a coupon for Whole Foods,English,shopping
Cancel my timer,English,command
Show me banks near the waterfront,English,navigation
Is there a auto repair shop ahead?,English,navigation
Navigate to the park,English,navigation
How old is the Nobel Prize?,English,information
Zeig mir Comedy-Sendungen,German,entertainment
Show me electronics on sale,English,shopping
Disable Do Not Disturb,English,command
Find a scenic route to San Francisco,English,navigation
Order monitor online,English,shopping
What does ETF stand for?,English,information
Recommend a documentary for the weekend,English,entertainment
What is DNA?,English,information
Find deals on drone,English,shopping
Recommend a movie for date night,English,entertainment
Navigate to the community center,English,navigation
Remind me to take my medicine at 10 PM,English,command
How does climate change work?,English,information
埃菲尔铁塔有多高?,Mandarin,information
मम्मी को फोन लगाओ,Hindi,command
What are the Tony nominees this year?,English,entertainment
What language do they speak in Mexico?,English,information
Find the best deal on sunglasses,English,shopping
带我去机场,Mandarin,navigation
Order blender online,English,shopping
Directions to the market,English,navigation
Find the cheapest resistance bands,English,shopping
Order a replacement robot vacuum,English,shopping
Buy sneakers,English,shopping
Turn on the TV,English,command
How do you say sorry in Arabic?,English,information
Where can I buy water bottle nearby?,English,shopping
Subscribe to a cleaner,English,shopping
Open Spotify,English,command
Send Dad a message saying call me back,English,command
Check my notifications,English,command
Is there a Starbucks ahead?,English,navigation
Show me walking directions to the mall,English,navigation
What language do they speak in Thailand?,English,information
How far is São Paulo from Lagos?,English,information
What's new on Apple TV?,English,entertainment
What's new on Tidal?,English,entertainment
Where can I buy yoga mat nearby?,English,shopping
Is there a dentist ahead?,English,navigation
ピザを注文して,Japanese,shopping
Order sushi for delivery,English,shopping
What is the capital of Brazil?,English,information
Play party playlist,English,entertainment
How do I get to the waterfront?,English,navigation
Play chill playlist,English,entertainment
What is the capital of France?,English,information
Call Mom,English,command
How much does headphones cost?,English,shopping
Check my tabs,English,command
Order salad for delivery,English,shopping
Recommend a pop podcast,English,entertainment
Find a 24-hour urgent care nearby,English,navigation
Where is the closest dry cleaner?,English,navigation
Send a text to Mike,English,command
Buy a new skateboard,English,shopping
Find the best deal on fitness tracker,English,shopping
Directions to the vet,English,navigation
Buy portable charger,English,shopping
Restock butter,English,shopping
Set the volume to 72 degrees,English,command
Compare prices for fitness tracker,English,shopping
Send a text to my doctor,English,command
Navigate to the nearest parking spot,English,navigation
Show me sports movies on Peacock,English,entertainment
What's the origin of the World Cup?,English,information
Call my boss,English,command
Read my last emails,English,command
Play an audiobook by Walter Isaacson,English,entertainment
Navigate to the hotel,English,navigation
Find cheapest office chair under $50,English,shopping
Route to the stadium,English,navigation
How far is the beach from here?,English,navigation
Add dog food to my shopping list,English,shopping
Find a dry cleaner near me,English,navigation
Find a bike shop near me,English,navigation
When was Stonehenge built?,English,information
